,instant,Date,Season,Month,Hour,Holiday,Weekdays,Weather-situation,Temperature,Atemp,Humidity,Windspeed,Casual,Registered,Total Count
0,1,01-01-2011,Spring,1,0,False,6,Clear,-17.644444444444446,-17.617833333333333,0.81,0.0,3,13,16.0
1,2,01-01-2011,Spring,1,1,False,6,Clear,-17.655555555555555,-17.62627777777778,0.8,0.0,8,32,40.0
2,3,01-01-2011,Spring,1,2,False,6,Clear,-17.655555555555555,-17.62627777777778,0.8,0.0,5,27,32.0
3,4,01-01-2011,Spring,1,3,False,6,Clear,-17.644444444444446,-17.617833333333333,0.75,0.0,3,10,13.0
4,5,01-01-2011,Spring,1,4,False,6,Clear,-17.644444444444446,-17.617833333333333,0.75,0.0,0,1,1.0
5,6,01-01-2011,Spring,1,5,False,6,Mist,-17.644444444444446,-17.634666666666664,0.75,0.0896,0,1,1.0
6,7,01-01-2011,Spring,1,6,False,6,Clear,-17.655555555555555,-17.62627777777778,0.8,0.0,2,0,2.0
7,8,01-01-2011,Spring,1,7,False,6,Clear,-17.666666666666668,-17.634666666666664,0.86,0.0,1,2,3.0
8,9,01-01-2011,Spring,1,8,False,6,Clear,-17.644444444444446,-17.66670283806344,0.75,0.0,1,7,8.0
9,10,01-01-2011,Spring,1,9,False,6,Clear,-17.6,-17.584166666666665,0.76,0.0,8,6,14.0
10,11,01-01-2011,Spring,1,10,False,6,Clear,-17.666666666666668,-17.558944444444446,0.76,0.2537,12,24,36.0
11,12,01-01-2011,Spring,1,11,False,6,Clear,-17.666666666666668,-17.59261111111111,0.81,0.2836,26,30,56.0
12,13,01-01-2011,Spring,1,12,False,6,Clear,-17.666666666666668,-17.659944444444445,0.77,0.2836,29,55,84.0
13,14,01-01-2011,Spring,1,13,False,6,Mist,-17.666666666666668,-17.659944444444445,0.72,0.2985,47,47,94.0
14,15,01-01-2011,Spring,1,14,False,6,Mist,-17.666666666666668,-17.659944444444445,0.72,0.2836,35,71,106.0
15,16,01-01-2011,Spring,1,15,False,6,Mist,-17.666666666666668,-17.659944444444445,0.77,0.2985,40,70,110.0
16,17,01-01-2011,Spring,1,16,False,6,Mist,-17.666666666666668,-17.659944444444445,0.82,0.2985,41,52,93.0
17,18,01-01-2011,Spring,1,17,False,6,Mist,-17.666666666666668,-17.66670283806344,0.82,0.2836,15,52,67.0
18,19,01-01-2011,Spring,1,18,False,6,Light Snow,-17.666666666666668,-17.659944444444445,0.88,0.2537,9,26,35.0
19,20,01-01-2011,Spring,1,19,False,6,Light Snow,-17.666666666666668,-17.659944444444445,0.88,0.2537,6,31,37.0
20,21,01-01-2011,Spring,1,20,False,6,Mist,-17.666666666666668,-17.659944444444445,0.87,0.2537,11,25,36.0
21,22,01-01-2011,Spring,1,21,False,6,Mist,-17.666666666666668,-17.659944444444445,0.87,0.194,3,31,34.0
22,23,01-01-2011,Spring,1,22,False,6,Mist,-17.666666666666668,-17.659944444444445,0.94,0.2239,11,17,28.0
23,24,01-01-2011,Spring,1,23,False,6,Mist,-17.666666666666668,-17.66670283806344,0.88,0.2985,15,24,39.0
24,25,02-01-2011,Spring,1,0,False,0,Mist,-17.666666666666668,-17.659944444444445,0.88,0.2985,4,13,17.0
25,26,02-01-2011,Spring,1,1,False,0,Mist,-17.666666666666668,-17.659944444444445,0.94,0.2537,1,16,17.0
26,27,02-01-2011,Spring,1,2,False,0,Mist,-17.666666666666668,-17.659944444444445,1.0,0.2836,1,8,9.0
27,28,02-01-2011,Spring,1,3,False,0,Mist,-17.666666666666668,-17.659944444444445,0.94,0.194,2,4,6.0
28,29,02-01-2011,Spring,1,4,False,0,Mist,-17.666666666666668,-17.66670283806344,0.94,0.194,2,1,3.0
29,30,02-01-2011,Spring,1,6,False,0,Light Snow,-17.666666666666668,-17.659944444444445,0.77,0.2985,0,2,2.0
30,31,02-01-2011,Spring,1,7,False,0,Mist,-17.666666666666668,-17.659944444444445,0.76,0.194,0,1,1.0
31,32,02-01-2011,Spring,1,8,False,0,Light Snow,-17.666666666666668,-17.659944444444445,0.71,0.2239,0,8,8.0
32,33,02-01-2011,Spring,1,9,False,0,Mist,-17.666666666666668,-17.66670283806344,0.76,0.2239,1,19,20.0
33,34,02-01-2011,Spring,1,10,False,0,Mist,-17.666666666666668,-17.584166666666665,0.81,0.2239,7,46,53.0
34,35,02-01-2011,Spring,1,11,False,0,Mist,-17.666666666666668,-17.59261111111111,0.71,0.2537,16,54,70.0
35,36,02-01-2011,Spring,1,12,False,0,Mist,-17.666666666666668,-17.59261111111111,0.66,0.2985,20,73,93.0
36,37,02-01-2011,Spring,1,13,False,0,Mist,-17.666666666666668,-17.584166666666665,0.66,0.1343,11,64,75.0
37,38,02-01-2011,Spring,1,14,False,0,Light Snow,-17.666666666666668,-17.66670283806344,0.76,0.194,4,55,59.0
38,39,02-01-2011,Spring,1,15,False,0,Light Snow,-17.58888888888889,-17.59261111111111,0.81,0.1642,19,55,74.0
39,40,02-01-2011,Spring,1,16,False,0,Light Snow,-17.58888888888889,-17.59261111111111,0.71,0.1642,9,67,76.0
40,41,02-01-2011,Spring,1,17,False,0,Clear,-17.58888888888889,-17.59261111111111,0.57,0.194,7,58,65.0
41,42,02-01-2011,Spring,1,18,False,0,Mist,-17.666666666666668,-17.59261111111111,0.46,0.3284,10,43,53.0
42,43,02-01-2011,Spring,1,19,False,0,Clear,-17.6,-17.617833333333333,0.42,0.4478,1,29,30.0
43,44,02-01-2011,Spring,1,20,False,0,Clear,-17.61111111111111,-17.66670283806344,0.39,0.3582,5,17,22.0
44,45,02-01-2011,Spring,1,21,False,0,Clear,-17.633333333333333,-17.6515,0.44,0.3284,11,20,31.0
45,46,02-01-2011,Spring,1,22,False,0,Clear,-17.644444444444446,-17.659944444444445,0.44,0.2985,0,9,9.0
